,NAME,LON,LAT
1,安徽,117.17,31.52
2,北京,116.24,39.55
3,重庆,106.54,29.59
4,福建,119.18,26.05
5,甘肃,103.51,36.04
6,广东,113.14,23.08
7,广西,108.19,22.48
8,贵州,106.42,26.35
9,海南,110.2,20.02
10,河北,114.3,38.02
11,河南,113.4,34.46
12,黑龙江,126.36,45.44
13,湖北,114.17,30.35
14,湖南,112.59,28.12
15,吉林,125.19,43.54
16,江苏,118.46,32.03
17,江西,115.55,28.4
18,辽宁,123.25,41.48
19,内蒙古,111.41,40.48
20,宁夏,106.16,38.27
21,青海,101.48,36.38
22,山东,117,36.4
23,山西,112.33,37.54
24,陕西,108.57,34.17
25,上海,121.29,31.14
26,四川,104.04,30.4
27,天津,117.12,39.02
28,西藏,91.08,29.39
29,新疆,87.36,43.45
30,云南,102.42,25.04
31,浙江,120.1,30.16
32,香港,115.12,21.23
33,澳门,115.07,21.33
34,台湾,121.3,25.03
